AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
6 Birch Way,Jerrabomberra,2619,HOUSE,,,3,1,1,,Blewitt Properties,2023-04-12T00:00:00,2023-05-11T00:00:00,,,,750000.0
19/3A Stornaway Road,Queanbeyan,2620,APARTMENT,80,,2,2,2,0.0,Ward Estate Agents,2023-03-30T00:00:00,2023-05-10T00:00:00,,,,482000.0
9B Hincksman Street,Queanbeyan East,2620,HOUSE,,,3,1,1,414.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-04-21T00:00:00,2023-05-10T00:00:00,,,,480000.0
8 Charlow Street,Googong,2620,LAND,,,0,0,0,630.0,Ray White Canberra ,2023-04-11T00:00:00,2023-05-09T00:00:00,,,,
17 Allumba Street,Queanbeyan West,2620,HOUSE,,,5,3,2,693.0,Blackshaw Queanbeyan & Jerrabomberra,2023-03-15T00:00:00,2023-05-09T00:00:00,,,,
33 Courtney Street,Googong,2620,HOUSE,306,,4,2,2,570.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2022-11-03T00:00:00,2023-05-08T00:00:00,,,,1255000.0
13 Terrara Close,Jerrabomberra,2619,HOUSE,,,5,3,2,804.0,Belle Property Queanbeyan,2023-04-20T00:00:00,2023-05-08T00:00:00,,,,
28 Pindari Crescent,Karabar,2620,HOUSE,0,,5,3,2,1062.0,Ray White Canberra ,2023-04-12T00:00:00,2023-05-06T00:00:00,,,,
21 Kinlyside Avenue,Jerrabomberra,2619,HOUSE,175,,4,2,2,935.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-04-13T00:00:00,2023-05-05T00:00:00,,,,905000.0
3 Granville Close,Greenleigh,2620,HOUSE,279,,5,2,2,5099.0,Ward Estate Agents,2023-03-14T00:00:00,2023-05-05T00:00:00,,,,
15 Stringybark Drive,Jerrabomberra,2619,HOUSE,,,4,2,2,624.0,Blackshaw Tuggeranong,2023-03-16T00:00:00,2023-05-05T00:00:00,,,,1090000.0
40 Lambrigg Road,Googong,2620,LAND,,,0,0,0,480.0,Belle Property Queanbeyan,2023-01-20T00:00:00,2023-05-05T00:00:00,,,,400000.0
11 Lanham Street,Googong,2620,LAND,,,0,0,0,605.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2022-11-22T00:00:00,2023-05-05T00:00:00,,,,525000.0
17 River Drive,Karabar,2620,HOUSE,,,3,2,2,451.0,Belle Property Canberra,2023-03-14T00:00:00,2023-05-05T00:00:00,,,,
7 Callum Street,Queanbeyan,2620,HOUSE,300,,5,2,2,740.0,Ray White Queanbeyan/Jerrabomberra,2023-04-13T00:00:00,2023-05-04T00:00:00,,,,1275000.0
