AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
21 Murruba Place,Jerrabomberra,2619,HOUSE,,,4,2,3,3086.0,Belle Property Queanbeyan,2023-03-16T00:00:00,2023-05-04T00:00:00,,,,
31 Crest Park Parade,Queanbeyan West,2620,HOUSE,0,,3,1,2,727.0,Timothy Road,2023-04-07T00:00:00,2023-05-03T00:00:00,,,,751000.0
33 Zealie Bend,Googong,2620,HOUSE,196,,3,2,2,405.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-04-26T00:00:00,2023-05-02T00:00:00,,,,870000.0
13 Snow Gum Place,Jerrabomberra,2619,HOUSE,120,,3,1,2,506.0,Blackshaw Queanbeyan & Jerrabomberra,2023-03-09T00:00:00,2023-05-02T00:00:00,,,,780000.0
8/8-10 Donald Road,Queanbeyan,2620,TOWNHOUSE,,,4,2,2,,Distinct,2023-03-15T00:00:00,2023-05-02T00:00:00,,,,785000.0
1/46 Carrington Street,Queanbeyan East,2620,TOWNHOUSE,80,,2,1,2,,Blackshaw Queanbeyan & Jerrabomberra,2023-03-20T00:00:00,2023-05-01T00:00:00,,,,
135 Uriarra Road,Crestwood,2620,HOUSE,117,,1,1,2,,Blackshaw Queanbeyan & Jerrabomberra,2023-02-15T00:00:00,2023-05-01T00:00:00,,,,
25 Thorpe Avenue,Queanbeyan,2620,HOUSE,,,3,1,1,2000.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-03-29T00:00:00,2023-04-29T00:00:00,,,,1280000.0
32/43 Antill Street,Queanbeyan,2620,APARTMENT,76,,2,2,2,,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-03-23T00:00:00,2023-04-28T00:00:00,,,,480000.0
102 Southfork Place,Royalla,2620,HOUSE,,,5,3,4,,Hodgkinson Real Estate,2023-02-22T00:00:00,2023-04-28T00:00:00,,,,
31 Parkview Crescent,Jerrabomberra,2619,HOUSE,,,4,2,2,858.0,Belle Property Queanbeyan,2023-03-31T00:00:00,2023-04-27T00:00:00,,,,890000.0
109 Cooma Street,Queanbeyan,2620,HOUSE,220,,5,3,2,650.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2023-01-16T00:00:00,2023-04-27T00:00:00,,,,1000000.0
44 Cunningham Street,Karabar,2620,HOUSE,,,5,3,2,1167.0,Blackshaw Queanbeyan & Jerrabomberra,2023-04-12T00:00:00,2023-04-27T00:00:00,,,,
2 Kobada Close,Karabar,2620,HOUSE,0,,3,2,4,721.0,Ray White Queanbeyan/Jerrabomberra,2022-12-15T00:00:00,2023-03-27T00:00:00,2023-04-26,RESIDENCE,,
12 Pollack Street,Googong,2620,HOUSE,264,,4,3,2,552.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2022-11-25T00:00:00,2023-02-10T00:00:00,2023-04-26,RESIDENCE,,1128000.0
12 Courtney Street,Googong,2620,N/A,N/A,N/A,N/A,N/A,N/A,539.0,N/A,,2023-03-17T00:00:00,2023-04-26,VACANT LAND,,495000.0
42 Morton Street,Crestwood,2620,HOUSE,,,3,1,2,824.0,Luton Properties Tuggeranong,2023-02-15T00:00:00,2023-04-26T00:00:00,,,,629000.0
4/16 McInnes Street,Karabar,2620,TOWNHOUSE,,,3,1,1,,LJ Hooker Queanbeyan-Jerrabomberra-Googong,2023-03-09T00:00:00,2023-04-26T00:00:00,,,,600000.0
24 Kinsela Street,Karabar,2620,N/A,N/A,N/A,N/A,N/A,N/A,861.0,N/A,,2023-03-11T00:00:00,2023-04-24,RESIDENCE,,845000.0
5 Finneron Street,Googong,2620,HOUSE,299,,5,2,2,540.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2023-01-30T00:00:00,2023-04-05T00:00:00,2023-04-24,RESIDENCE,,1050000.0
41/4 Ross Road,Queanbeyan,2620,N/A,N/A,N/A,N/A,N/A,N/A,140.0,N/A,,2023-03-23T00:00:00,2023-04-24,RESIDENCE,,495000.0
41 Brereton Street,Queanbeyan West,2620,HOUSE,0,,3,1,0,790.0,Ray White Queanbeyan/Jerrabomberra,2022-12-15T00:00:00,2023-04-24T00:00:00,,,,749500.0
16 Binowee Place,Karabar,2620,HOUSE,0,,4,2,2,644.0,Ray White Queanbeyan/Jerrabomberra,2023-02-01T00:00:00,2023-04-21T00:00:00,,,,
4 Cooma Street,Queanbeyan,2620,HOUSE,,,2,1,2,670.0,Hodgkinson Real Estate,2022-11-22T00:00:00,2023-03-24T00:00:00,2023-04-21,RESIDENCE,,525000.0
28 Courtney Street,Googong,2620,N/A,N/A,N/A,N/A,N/A,N/A,522.0,N/A,,2021-07-22T00:00:00,2023-04-21,RESIDENCE,,1030000.0
8 Jasmine Gardens,Jerrabomberra,2619,N/A,N/A,N/A,N/A,N/A,N/A,990.0,N/A,,2023-04-21T00:00:00,2023-04-21,,,0.0
19/39-43 Crawford Street,Queanbeyan,2620,APARTMENT,,,2,2,1,,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-02-20T00:00:00,2023-03-08T00:00:00,2023-04-21,RESIDENCE,,489000.0
24 Albert Street,Queanbeyan,2620,HOUSE,,,3,1,1,493.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2022-11-18T00:00:00,2023-03-17T00:00:00,2023-04-21,RESIDENCE,,790000.0
60 Hellmund Street,Queanbeyan West,2620,HOUSE,,,3,1,2,735.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2022-12-02T00:00:00,2023-03-22T00:00:00,2023-04-21,RESIDENCE,,690000.0
27 Elizabeth Crescent,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,1068.0,N/A,,2023-03-22T00:00:00,2023-04-21,RESIDENCE,,924000.0
19/67 Derrima Road,Crestwood,2620,UNIT,59,,2,1,1,,Ray White Queanbeyan/Jerrabomberra,2022-12-06T00:00:00,2023-03-17T00:00:00,2023-04-21,RESIDENCE,,325000.0
31 Reginald Road,Googong,2620,N/A,N/A,N/A,N/A,N/A,N/A,874.0,N/A,,2023-04-14T00:00:00,2023-04-20,VACANT LAND,,1.0
1/15 Mowatt Street,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-21T00:00:00,2023-04-20,RESIDENCE,,385000.0
14 Garraway Crescent,Googong,2620,HOUSE,239,,4,2,2,460.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2023-01-03T00:00:00,2023-03-22T00:00:00,2023-04-20,RESIDENCE,,965000.0
6 Barber Street,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,9427.0,N/A,,2023-04-20T00:00:00,2023-04-20,,,0.0
12/41 Carinya Street,Queanbeyan,2620,TOWNHOUSE,0,,3,2,2,198.0,Ray White Queanbeyan/Jerrabomberra,2022-11-15T00:00:00,2023-01-20T00:00:00,2023-04-20,RESIDENCE,,620000.0
35 The Crescent ,Queanbeyan,2620,HOUSE,,,3,1,2,645.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-01-18T00:00:00,2023-03-29T00:00:00,2023-04-20,RESIDENCE,,840000.0
52 Caragh Avenue,Googong,2620,TOWNHOUSE,0,,3,2,2,282.0,Ray White Queanbeyan/Jerrabomberra,2023-03-15T00:00:00,2023-04-20T00:00:00,,,,757000.0
4/36 Antill Street,Queanbeyan,2620,N/A,N/A,N/A,N/A,N/A,N/A,100.0,N/A,,2023-02-03T00:00:00,2023-04-20,RESIDENCE,,400000.0
24 Bruce Street,Queanbeyan,2620,HOUSE,,,1,1,1,,Solely Properties,2023-03-06T00:00:00,2023-04-19T00:00:00,,,,
1/8-10 Donald Road,Queanbeyan,2620,OTHER,,,3,1,1,250.0,inStyle Estate Agents ,2020-12-15T00:00:00,2021-03-10T00:00:00,2023-04-19,RESIDENCE,,565000.0
4/8-10 Donald Road,Queanbeyan,2620,OTHER,,,3,2,1,208.0,inStyle Estate Agents ,2021-03-10T00:00:00,2021-03-03T00:00:00,2023-04-19,RESIDENCE,,545000.0
3 Stonehaven Circuit,Queanbeyan East,2620,HOUSE,140,,3,2,2,529.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-04-20T00:00:00,2023-04-19T00:00:00,,,,
8/8-10 Donald Road,Queanbeyan,2620,OTHER,,,3,2,2,197.0,inStyle Estate Agents ,2021-06-17T00:00:00,2021-03-03T00:00:00,2023-04-19,RESIDENCE,,599000.0
2/8-10 Donald Road,Queanbeyan,2620,OTHER,,,3,2,1,164.0,inStyle Estate Agents ,2021-06-17T00:00:00,2021-06-04T00:00:00,2023-04-19,RESIDENCE,,564000.0
24/85 Derrima Road,Queanbeyan,2620,HOUSE,0,,2,1,1,,Ray White Queanbeyan/Jerrabomberra,2023-01-31T00:00:00,2023-04-19T00:00:00,,,,310000.0
6/8-10 Donald Road,Queanbeyan,2620,N/A,N/A,N/A,N/A,N/A,N/A,170.0,N/A,,2021-07-12T00:00:00,2023-04-19,RESIDENCE,,564000.0
27 Daniel Street,Googong,2620,HOUSE,194,,4,2,2,404.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2023-02-06T00:00:00,2023-03-20T00:00:00,2023-04-19,RESIDENCE,,905000.0
3/10 Booth Street,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,2023-04-19,,,0.0
20 Halliday Street,Googong,2620,N/A,N/A,N/A,N/A,N/A,N/A,330.0,N/A,,2023-03-28T00:00:00,2023-04-18,VACANT LAND,,395000.0
18 Donald Road,Queanbeyan,2620,TOWNHOUSE,115,0,3,1,1,,McIntyre Property,2023-02-21T00:00:00,2023-04-18T00:00:00,,,,646000.0
5/8-10 Donald Road,Queanbeyan,2620,OTHER,,,3,2,1,186.0,inStyle Estate Agents ,2021-06-17T00:00:00,2021-03-10T00:00:00,2023-04-18,RESIDENCE,,520000.0
2/28 Macquoid Street,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,2023-04-18,,,0.0
68 Cameron Road,Karabar,2620,HOUSE,80,,3,1,1,569.0,Blackshaw Queanbeyan & Jerrabomberra,2023-01-25T00:00:00,2023-03-07T00:00:00,2023-04-18,RESIDENCE,,650000.0
4 Elaroo Place,Jerrabomberra,2619,HOUSE,232,,4,2,4,774.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-02-15T00:00:00,2023-04-18T00:00:00,,,,
2/53 Erin Street,Queanbeyan,2620,TOWNHOUSE,125,,3,2,2,167.0,Ray White Queanbeyan/Jerrabomberra,2023-03-07T00:00:00,2023-04-18T00:00:00,,,,615000.0
1/2 Velacia Place,Queanbeyan,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-17T00:00:00,2023-04-18,RESIDENCE,,310000.0
1 Mason Street,Googong,2620,HOUSE,155,,4,2,2,400.0,Blackshaw Queanbeyan & Jerrabomberra,2023-02-01T00:00:00,2023-03-04T00:00:00,2023-04-18,RESIDENCE,,950000.0
27 Severne Street,Greenleigh,2620,N/A,N/A,N/A,N/A,N/A,N/A,8132.0,N/A,,,2023-04-18,,,0.0
41 Surveyor Street,Queanbeyan,2620,HOUSE,,,4,2,2,,The Property Collective,2022-10-18T00:00:00,2023-04-17T00:00:00,,,,
22/3-5 Davison Street,Crestwood,2620,UNIT,,,2,1,1,,Blackshaw Queanbeyan & Jerrabomberra,2023-03-08T00:00:00,2023-04-17T00:00:00,,,,
98 Cooma Street,Karabar,2620,HOUSE,,,4,1,1,809.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2022-12-13T00:00:00,2023-04-17T00:00:00,,,,570000.0
54/5 Crest Road,Crestwood,2620,APARTMENT,,,2,1,1,,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-04-14T00:00:00,2023-04-17T00:00:00,,,,320000.0
103 Brudenell Drive,Jerrabomberra,2619,HOUSE,158,,4,2,2,814.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2023-01-30T00:00:00,2023-03-06T00:00:00,2023-04-17,RESIDENCE,,940000.0
13/9 Macquoid Street,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-01T00:00:00,2023-04-17,RESIDENCE,,172500.0
18 Freestone Crescent,Jerrabomberra,2619,HOUSE,,,4,2,2,828.0,Blackshaw Belconnen,2023-01-25T00:00:00,2023-03-08T00:00:00,2023-04-17,RESIDENCE,,949000.0
10 Bobac Street,Googong,2620,HOUSE,249,,4,2,2,400.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2022-11-16T00:00:00,2023-03-16T00:00:00,2023-04-17,RESIDENCE,,1100000.0
18/9 Stornaway Road,Queanbeyan,2620,HOUSE,,,1,1,1,107.0,The Property Collective,2023-01-11T00:00:00,2023-02-16T00:00:00,2023-04-14,RESIDENCE,,410000.0
71 Caragh Avenue,Googong,2620,HOUSE,0,,2,2,2,,Ray White Queanbeyan/Jerrabomberra,2023-03-07T00:00:00,2023-04-14T00:00:00,,,,620000.0
11/26 McKeahnie Street,Crestwood,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-27T00:00:00,2023-04-14,RESIDENCE,,350000.0
11 Beard Street,Karabar,2620,N/A,N/A,N/A,N/A,N/A,N/A,729.0,N/A,,2023-03-03T00:00:00,2023-04-14,RESIDENCE,,840000.0
60/22 Mowatt Street,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-03T00:00:00,2023-04-14,RESIDENCE,,130000.0
7/5 Crest Road,Crestwood,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-16T00:00:00,2023-04-13,RESIDENCE,,310000.0
3/120 Henderson Road,Crestwood,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-02T00:00:00,2023-04-13,RESIDENCE,,320000.0
10/61 Donald Road,Karabar,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-27T00:00:00,2023-04-13,RESIDENCE,,310000.0
10/5 Adams Street,Queanbeyan West,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,,2023-04-13,RESIDENCE,,0.0
11 Allambee Street,Jerrabomberra,2619,HOUSE,,,4,3,2,814.0,LJ Hooker Queanbeyan-Jerrabomberra-Googong,2022-12-08T00:00:00,2023-02-17T00:00:00,2023-04-13,RESIDENCE,,1140000.0
5/8 Murruba Place,Jerrabomberra,2619,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-08T00:00:00,2023-04-13,RESIDENCE,,935000.0
14 Downey Street,Karabar,2620,HOUSE,,,3,1,1,613.0,LJ Hooker Queanbeyan-Jerrabomberra-Googong,2023-01-24T00:00:00,2023-04-13T00:00:00,,,,555000.0
6/18 Richard Avenue,Crestwood,2620,TOWNHOUSE,,,2,2,2,,Jonny Warren Properties,2023-03-31T00:00:00,2023-04-13T00:00:00,,,,
27/161 Uriarra Road,Crestwood,2620,UNIT,156,,2,2,2,156.0,Ray White Queanbeyan/Jerrabomberra,2023-01-25T00:00:00,2023-03-14T00:00:00,2023-04-13,RESIDENCE,,515000.0
5 Melrose Place,Jerrabomberra,2619,HOUSE,,,3,2,2,745.0,Belle Property Queanbeyan,2023-03-16T00:00:00,2023-04-13T00:00:00,,,,
4 Doeberl Place,Karabar,2620,N/A,N/A,N/A,N/A,N/A,N/A,663.0,N/A,,2023-03-02T00:00:00,2023-04-12,RESIDENCE,,890000.0
4 Speargrass Road,Tralee,2620,LAND,,,0,0,0,450.0,Blackshaw Queanbeyan & Jerrabomberra,2023-01-27T00:00:00,2023-03-31T00:00:00,2023-04-12,VACANT LAND,,457000.0
23 Early Street,Crestwood,2620,HOUSE,,,4,2,2,720.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-03-22T00:00:00,2023-04-12T00:00:00,,,,787000.0
12 Railway Avenue,Crestwood,2620,N/A,N/A,N/A,N/A,N/A,N/A,1309.0,N/A,,2023-01-25T00:00:00,2023-04-12,RESIDENCE,,620000.0
34 Christopher Crescent,Karabar,2620,N/A,N/A,N/A,N/A,N/A,N/A,664.0,N/A,,2023-04-03T00:00:00,2023-04-11,RESIDENCE,,700000.0
2/11 Urangarra Place,Jerrabomberra,2619,HOUSE,187,,4,2,3,487.0,The Property Collective,2022-10-25T00:00:00,2023-03-03T00:00:00,2023-04-11,RESIDENCE,,930000.0
7 Caroline Place,Karabar,2620,HOUSE,,,4,2,2,707.0,HIVE Property,2023-01-19T00:00:00,2023-02-09T00:00:00,2023-04-11,RESIDENCE,,901500.0
7/13 Gilmore Place,Queanbeyan West,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-28T00:00:00,2023-04-11,RESIDENCE,,212500.0
49 Kinlyside Avenue,Jerrabomberra,2619,HOUSE,,,4,3,2,604.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-02-17T00:00:00,2023-04-11T00:00:00,,,,980000.0
1B Peppercorn Way,Jerrabomberra,2619,HOUSE,,,3,2,2,434.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-02-17T00:00:00,2023-04-11T00:00:00,,,,825000.0
6/37 Derrima Road,Queanbeyan,2620,HOUSE,,,3,1,1,,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2022-03-22T00:00:00,2023-04-07T00:00:00,,,,600000.0
27 Violet Terrace,Tralee,2620,N/A,N/A,N/A,N/A,N/A,N/A,477.0,N/A,,2021-10-18T00:00:00,2023-04-06,RESIDENCE,,734900.0
9 Violet Terrace,Tralee,2620,N/A,N/A,N/A,N/A,N/A,N/A,299.0,N/A,,2021-11-08T00:00:00,2023-04-06,RESIDENCE,,671900.0
12/1 Mowatt Street,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-07T00:00:00,2023-04-06,RESIDENCE,,372000.0
11 McPherson Street,Googong,2620,N/A,N/A,N/A,N/A,N/A,N/A,480.0,N/A,,2023-03-15T00:00:00,2023-04-06,RESIDENCE,,1.0
128 Monaro Street,Queanbeyan,2620,RETAIL,120,,0,0,0,,LJ Hooker Queanbeyan-Jerrabomberra-Googong,2023-02-06T00:00:00,2023-04-06T00:00:00,,,,825000.0
51 Morella Avenue,Jerrabomberra,2619,HOUSE,,,4,2,2,1021.0,Blackshaw Manuka,2023-03-08T00:00:00,2023-03-22T00:00:00,2023-04-06,RESIDENCE,,
14/90 Collett Street,Queanbeyan,2620,UNIT,,,1,1,1,,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-02-15T00:00:00,2023-03-07T00:00:00,2023-04-06,RESIDENCE,,220000.0
10/20 Donald Road,Queanbeyan,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-08T00:00:00,2023-04-06,RESIDENCE,,520000.0
11/15 Charles Street,Queanbeyan,2620,TOWNHOUSE,,,2,1,1,,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-01-13T00:00:00,2023-03-07T00:00:00,2023-04-06,RESIDENCE,,465000.0
37 Wellsvale Drive,Googong,2620,TOWNHOUSE,,,4,2,3,222.0,Blackshaw Queanbeyan & Jerrabomberra,2023-02-15T00:00:00,2023-04-06T00:00:00,,,,
19 Merlin Crescent,Googong,2620,HOUSE,205,,4,2,2,875.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2023-03-22T00:00:00,2023-04-06T00:00:00,,,,1200000.0
6/52 Trinculo Place,Queanbeyan East,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-03-08T00:00:00,2023-04-06,RESIDENCE,,357500.0
17 Bedford Street,Queanbeyan West,2620,N/A,N/A,N/A,N/A,N/A,N/A,740.0,N/A,,2023-03-20T00:00:00,2023-04-06,COMMERCIAL,,980000.0
6 Begonia Place,Crestwood,2620,HOUSE,,0,3,2,1,790.0,Carter and Co Agents,2023-02-15T00:00:00,2023-04-05T00:00:00,,,,
20 Southwell Place,Karabar,2620,HOUSE,,,3,1,2,651.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2022-10-20T00:00:00,2023-04-05T00:00:00,,,,
43 Pindari Crescent,Karabar,2620,N/A,N/A,N/A,N/A,N/A,N/A,986.0,N/A,,2023-02-22T00:00:00,2023-04-05,RESIDENCE,,1120000.0
43 Stringybark Drive,Jerrabomberra,2619,HOUSE,,,4,2,3,615.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2022-12-01T00:00:00,2023-04-05T00:00:00,,,,910000.0
52 Pannamena Crescent,Jerrabomberra,2619,HOUSE,302,,4,2,2,554.0,LJ Hooker Canberra City,2022-11-18T00:00:00,2023-04-05T00:00:00,,,,1100000.0
2/4 Brudenell Drive,Jerrabomberra,2619,TOWNHOUSE,,,3,2,2,,Luton Properties Manuka,2023-03-15T00:00:00,2023-04-05T00:00:00,,,,
230 Gorman Drive,Googong,2620,TOWNHOUSE,,,3,2,2,249.0,Solely Properties,2022-10-18T00:00:00,2023-03-06T00:00:00,2023-04-05,RESIDENCE,,750000.0
171 Gorman Drive,Googong,2620,N/A,N/A,N/A,N/A,N/A,N/A,170.0,N/A,,,2023-04-05,,,0.0
24 Morella Avenue,Jerrabomberra,2619,HOUSE,,,4,3,2,942.0,Blackshaw Queanbeyan & Jerrabomberra,2023-01-23T00:00:00,2023-03-08T00:00:00,2023-04-05,RESIDENCE,,1085500.0
49 Antill Street,Queanbeyan,2620,HOUSE,,,3,1,2,,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2023-03-15T00:00:00,2023-04-05T00:00:00,,,,710000.0
11/3 Broughton Place,Queanbeyan,2620,TOWNHOUSE,120,,1,1,1,,LJ Hooker Queanbeyan-Jerrabomberra-Googong,2023-03-01T00:00:00,2023-04-04T00:00:00,,,,416000.0
5 Brereton Street,Queanbeyan West,2620,N/A,N/A,N/A,N/A,N/A,N/A,708.0,N/A,,2023-03-07T00:00:00,2023-04-04,RESIDENCE,,710000.0
1/70 Brudenell Drive,Jerrabomberra,2619,HOUSE,0,0,2,2,2,,Raine & Horne,2023-01-30T00:00:00,2023-04-03T00:00:00,,,,657000.0
9/36 Antill Street,Queanbeyan,2620,APARTMENT,77,,1,1,1,77.0,RE/MAX Capital,2022-11-29T00:00:00,2023-02-20T00:00:00,2023-04-03,RESIDENCE,,372000.0
13/43 Antill Street,Queanbeyan,2620,APARTMENT,0,,2,2,2,,Raine & Horne,2023-02-08T00:00:00,2023-03-08T00:00:00,2023-04-03,RESIDENCE,,565000.0
5 Glenrock Drive,Googong,2620,LAND,,,0,0,0,902.0,Googong Township Realty,2023-01-31T00:00:00,2023-04-03T00:00:00,,,,642000.0
47 Forest Drive,Jerrabomberra,2619,HOUSE,323,,4,2,3,951.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2022-10-31T00:00:00,2023-02-27T00:00:00,2023-04-03,RESIDENCE,,1325000.0
27 Saltbush Parade,Tralee,2620,N/A,N/A,N/A,N/A,N/A,N/A,171.0,N/A,,2021-05-13T00:00:00,2023-04-03,RESIDENCE,,588000.0
14 Warner Street,Googong,2620,LAND,244,6,4,2,2,443.0,Carter and Co Agents,2023-01-25T00:00:00,2023-03-03T00:00:00,2023-04-03,RESIDENCE,,960000.0
14/12 Federal Avenue,Crestwood,2620,UNIT,0,,2,1,1,,Ray White Queanbeyan/Jerrabomberra,2023-01-19T00:00:00,2023-03-03T00:00:00,2023-04-03,RESIDENCE,,350000.0
8 Kate Street,Googong,2620,HOUSE,180,,3,2,2,515.0,White Rhino Property Googong-Queanbeyan-Jerrabomberra,2023-02-07T00:00:00,2023-03-28T00:00:00,2023-04-03,RESIDENCE,,960000.0
29 Stuart Street,Crestwood,2620,N/A,N/A,N/A,N/A,N/A,N/A,687.0,N/A,,2023-03-03T00:00:00,2023-04-03,RESIDENCE,,680000.0
1 Crest Road,Crestwood,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-04-01T11:00:00,,,,685000.0
18 Hakea Street,Karabar,2620,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,2023-04-01T11:00:00,,,,815000.0
6/7 O'Neill Street,Queanbeyan East,2620,UNIT,98,,2,2,2,,Hayman Partners,2023-03-09T00:00:00,2023-04-01T00:00:00,,,,610000.0
27 Lambrigg Road,Googong,2620,LAND,,,0,0,0,332.0,LJ Hooker Queanbeyan-Jerrabomberra-Googong,2022-11-10T00:00:00,2023-03-29T00:00:00,2023-03-31,VACANT LAND,,380000.0
5 Tennyson Drive,Queanbeyan East,2620,HOUSE,,,3,2,2,529.0,Ian McNamee & Partners Queanbeyan/Jerrabomberra/Canberra,2022-10-12T00:00:00,2023-03-01T00:00:00,2023-03-31,RESIDENCE,,795000.0
