AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
15 Banjo Paterson Avenue,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,595.0,N/A,,2022-07-29T00:00:00,2022-09-27,SINGLE RESIDENTIAL DWELLING,,1535000.0
17 Olive Cotton View,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,350.0,N/A,,2022-08-22T00:00:00,2022-09-27,SINGLE RESIDENTIAL DWELLING,,325000.0
249 Sculthorpe Avenue,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,244.0,N/A,,2021-11-08T00:00:00,2022-09-27,SINGLE RESIDENTIAL DWELLING,,445000.0
14 Temple Terrace,Denman Prospect,2611,HOUSE,323,6,5,3,2,787.0,Boris Property,2022-05-31T00:00:00,2022-07-20T00:00:00,2022-09-23,SINGLE RESIDENTIAL DWELLING,840000.0,2250000.0
5/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2021-02-12T00:00:00,2022-09-23,MULTIPLE UNIT DWELLING,,639900.0
8/56 McMichael Terrace,Denman Prospect,2611,N/A,N/A,N/A,N/A,N/A,N/A,9364.0,N/A,,2020-10-16T00:00:00,2022-09-23,MULTIPLE UNIT DWELLING,,629900.0
30 Argus Street,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,626.0,N/A,,2022-07-20T00:00:00,2022-09-21,SINGLE RESIDENTIAL DWELLING,,180000.0
245 Sculthorpe Avenue,Whitlam,2611,N/A,N/A,N/A,N/A,N/A,N/A,232.0,N/A,,2021-10-19T00:00:00,2022-09-21,SINGLE RESIDENTIAL DWELLING,,440000.0
7 Ulysses Circuit,Wright,2611,N/A,N/A,N/A,N/A,N/A,N/A,442.0,N/A,,2022-07-02T00:00:00,2022-09-21,SINGLE RESIDENTIAL DWELLING,,1100000.0
11 Willesee Rise,Coombs,2611,LAND,,0,0,0,0,845.0,Luton Properties Manuka,2016-03-15T00:00:00,2016-04-21T00:00:00,2022-09-21,SINGLE RESIDENTIAL DWELLING,467000.0,520000.0
8D Harold White Avenue,Coombs,2611,TOWNHOUSE,123,6,3,2,2,,My Morris,2022-07-07T00:00:00,2022-09-21T00:00:00,,,95900.0,750000.0
3 Chipp Street,Coombs,2611,HOUSE,340,4,5,4,4,820.0,Impact Properties Canberra,2022-06-24T00:00:00,2022-07-21T00:00:00,2022-09-20,SINGLE RESIDENTIAL DWELLING,705000.0,1600000.0
