AddressLine,Suburb,PostCode,PropertyType,BuildingSize,EER,BedRooms,Bathroosm,Parking,BlockSize,AgencyName,ListingDate,ContractDate,TransferDate,Purpose,UV_Value,TranserAmount
23 Eppalock Street,Duffy,2611,HOUSE,254,6,4,2,2,832.0,Luton Properties Weston Creek and Molonglo Valley,2023-04-20T00:00:00,2023-05-13T00:00:00,,,757000.0,
11 Settlement Drive,Duffy,2611,HOUSE,285,5.5,5,4,2,2700.0,Belle Property Canberra,2023-04-20T00:00:00,2023-05-13T00:00:00,,,1082000.0,2700000.0
9 Lincoln Close,Chapman,2611,HOUSE,198,4,4,3,2,1538.0,Hayman Partners,2022-10-17T00:00:00,2023-05-12T00:00:00,,,1006000.0,
13 Backler Place,Weston,2611,HOUSE,83,3,2,1,1,408.0,The Property Collective,2023-04-13T00:00:00,2023-05-10T00:00:00,,,570000.0,752000.0
51 Kallara Close,Duffy,2611,HOUSE,164,1.5,4,1,2,739.0,Belle Property Canberra,2023-04-13T00:00:00,2023-05-06T00:00:00,,,668000.0,
10 Badimara Street,Waramanga,2611,HOUSE,131,2,3,2,1,758.0,MRKT Property,2023-03-22T00:00:00,2023-05-06T00:00:00,,,618000.0,
71 Nangor Street,Waramanga,2611,HOUSE,97,1,3,1,2,833.0,My Morris,2023-03-08T00:00:00,2023-05-05T00:00:00,,,717000.0,
48 Lycett Street,Weston,2611,HOUSE,164,2.5,4,3,2,650.0,Luton Properties Tuggeranong,2023-04-12T00:00:00,2023-05-05T00:00:00,,,696000.0,1150000.0
4 Rubbo Crescent,Weston,2611,HOUSE,,5,5,2,2,920.0,HIVE Property,2023-04-14T00:00:00,2023-05-05T00:00:00,,,858000.0,
13 Somerset Street,Duffy,2611,HOUSE,165,1,3,2,2,707.0,Luton Properties Weston Creek and Molonglo Valley,2023-01-19T00:00:00,2023-05-04T00:00:00,,,699000.0,
3 Mentha Place,Rivett,2611,HOUSE,,2,4,2,2,1034.0,Luton Properties Gungahlin,2023-02-23T00:00:00,2023-05-04T00:00:00,,,709000.0,
53 Warragamba Avenue,Duffy,2611,HOUSE,245,3.5,4,3,2,788.0,Luton Properties Weston Creek and Molonglo Valley,2023-03-09T00:00:00,2023-05-02T00:00:00,,,750000.0,
30 Kanooka Street,Rivett,2611,HOUSE,,6,4,3,2,,Confidence Real Estate ,2023-02-08T00:00:00,2023-05-01T00:00:00,,,611000.0,1370000.0
15 Pandanus Street,Fisher,2611,HOUSE,745,1,3,1,2,,LJ Hooker Manuka,2023-03-30T00:00:00,2023-04-29T00:00:00,,,718000.0,
7 Daplyn Close,Weston,2611,HOUSE,,3,4,3,2,684.0,Luton Properties Manuka,2023-01-24T00:00:00,2023-02-18T00:00:00,2023-04-28,SINGLE RESIDENTIAL DWELLING,793000.0,950000.0
32 Rafferty Street,Chapman,2611,HOUSE,,3,3,2,3,948.0,Bertram Ellis,2023-01-25T00:00:00,2023-03-08T00:00:00,2023-04-28,SINGLE RESIDENTIAL DWELLING,772000.0,970000.0
140 Nemarang Crescent,Waramanga,2611,HOUSE,,0.5,3,2,1,702.0,Blackshaw Tuggeranong,2022-11-04T00:00:00,2023-03-18T00:00:00,2023-04-27,SINGLE RESIDENTIAL DWELLING,701000.0,
233 Namatjira Drive,Fisher,2611,HOUSE,141,5,3,2,2,978.0,Luton Properties Weston Creek and Molonglo Valley,2023-03-09T00:00:00,2023-04-27T00:00:00,,,727000.0,
24 Dalabon Crescent,Waramanga,2611,HOUSE,,1,3,1,3,790.0,Luton Properties Manuka,2023-04-13T00:00:00,2023-04-27T00:00:00,,,678000.0,
24 Doyle Terrace,Chapman,2611,N/A,N/A,N/A,N/A,N/A,N/A,949.0,N/A,,2023-03-17T00:00:00,2023-04-27,SINGLE RESIDENTIAL DWELLING,,1426000.0
47 Cargelligo Street,Duffy,2611,HOUSE,112,2.5,3,1,2,827.0,Luton Properties Weston Creek and Molonglo Valley,2023-02-03T00:00:00,2023-02-25T00:00:00,2023-04-27,SINGLE RESIDENTIAL DWELLING,763000.0,987500.0
7/25 Damala Street,Waramanga,2611,TOWNHOUSE,148,5.5,3,2,1,2912.0,Hayman Partners,2023-02-23T00:00:00,2023-03-03T00:00:00,2023-04-27,MULTIPLE UNIT DWELLING,,775000.0
9/51 Blackwood Terrace,Holder,2611,TOWNHOUSE,129,6,3,2,2,1966.0,Hayman Partners,2022-11-10T00:00:00,2023-03-14T00:00:00,2023-04-26,MULTIPLE UNIT DWELLING,215673.0,785000.0
263 Hindmarsh Drive,Rivett,2611,N/A,N/A,N/A,N/A,N/A,N/A,813.0,N/A,,2023-04-04T00:00:00,2023-04-26,SINGLE RESIDENTIAL DWELLING,,750000.0
9 Araluen Street,Fisher,2611,HOUSE,166,0.5,3,2,1,812.0,Hayman Partners,2023-01-26T00:00:00,2023-03-02T00:00:00,2023-04-26,SINGLE RESIDENTIAL DWELLING,687000.0,860000.0
15/93 Burrinjuck Crescent,Duffy,2611,UNIT,67,6,2,2,1,1545.0,Hayman Partners,2023-02-23T00:00:00,2023-03-21T00:00:00,2023-04-26,MULTIPLE UNIT DWELLING,142080.0,
51 Darwinia Terrace,Rivett,2611,HOUSE,,1,4,1,2,,Hayman Partners,2023-03-09T00:00:00,2023-04-26T00:00:00,,,684000.0,
14 Badimara Street,Waramanga,2611,HOUSE,215,4.5,4,2,2,691.0,Independent Woden,2023-03-30T00:00:00,2023-04-22T00:00:00,,,632000.0,
